23.01.2021 03:00;5,09389;11,1719;9,51672;14,844;19,5988;3,53454;24,4924;11,6621;42,6349;15,8882;24,8746;37,663753;25,098877;24,4;10,4;11,4;11,3;21;21,7;27,764796;38,3;22,038733;30;2,765918;11,1;4,68685;15,4;7,3;1,533;10,7;;31,8;42,4;41,4;31,7;14,5;27,6;13,6;25,7;12,4524;6,48222;1,68516;17,7343;28;18,2533;2,9;52,5872;41,7368;9,31994;15,1807;48,5584;9,40207;7,08837;9,37501;3,3;6,27186;6,59861;11,7308;2,7655;14,6;8,493344;17,886688;24,913392;40,986768;27,626784;23,7;32,493665;21,906897;25,20064;26,020128;17,46672;20,353488;18,2841;22,9121;11,8583;15,5;6,3;3,4;16,4;24,1;14,912;1,74576;6,07173;7,74838;11,0323;2,50267;0,19864;22,6207;24,9533;26,0643;13,1118;13,08;8,74666;4,8282;8,23281;11,3462;18,3;19,1;;14,4;3,80618;26,9438;28,3481;22,5821;30,4137;51,9092;57,0626;16,1888;22,4011;29,8176;52,7415;3,82666;14,2141;16,3862;7,86522;9,62692;19,4543;18,6871;24,2798;15,0628;16,8059;15,5058;17,6653;26,4529;31,1311;19,5181;10,9806;6,8058;28,4384;26,9002;24,8843;;5,8879;14,4287;15,5162;15,8659;18,1403;48,534;12,4094
23.01.2021 04:00;6,39776;2,46276;11,0863;10,4931;18,7652;3,80807;16,9351;8,7235;30,9988;16,5903;27,7718;30,026223;31,130714;18,6;16,2;11,2;16,3;29,1;21,9;27,603448;36,9;17,221652;26;2,872735;8,4;4,38077;12,9;6;1,355;13,3;;23,8;32,4;33,6;32,2;15,2;30;12,9;27,8;14,5158;4,4475;1,38832;15,254;30,4;8,92111;3,2;47,0071;38,4084;6,0467;12,0212;38,4248;6,47983;5,48017;17,262;3,1;6,02484;6,09355;10,6888;2,27422;16,8;6,640016;15,793344;20,76672;41,8668;31,660144;20,8;25,813472;19,953569;26,6146;27,093504;14,373376;19,293504;17,2654;23,0072;13,8019;19,7;5,1;2,4;15,8;24,1;9,10209;1,50464;5,95501;11,1353;7,87715;2,62589;1,43134;26,9611;28,4387;29,565;40,0341;13,02;5,68533;4,71076;9,45022;8,20092;12,2;13,8;;13;4,77246;31,3329;23,2807;21,3232;26,1772;48,414;59,0893;28,4463;20,6146;23,0895;41,0793;3,70662;11,3886;14,5768;7,07493;5,7275;25,1917;18,6399;20,7424;14,288;21,151;25,4976;16,8701;18,5194;20,296;15,5497;7,55958;7,36438;24,2576;10,6642;8,67624;;5,93729;;16,6602;33,8238;23,2053;46,2412;10,8235
23.01.2021 05:00;4,96961;2,58864;15,369;9,61099;18,0764;3,63811;15,1761;12,2102;23,6307;11,4943;14,3007;36,052366;26,951163;13,9;19,6;11,5;32,8;22,8;18,3;34,2332;41,2;19,172735;16;2,765918;10,1;4,36164;13,8;7,2;1,315;15;;17,9;22,3;26,1;23;13,4;24,3;11,9;22,4;11,164;2,33917;1,61226;12,0238;28,3;7,01734;4,2;40,8356;41,4559;8,46857;12,505;18,3186;8,2471;12,9439;15,308;3,1;6,04456;6,45749;9,75986;3,45541;17,5;6,740016;13,986688;20,720048;32,63344;35,293504;21,4;25,893504;19,206897;30,3077;34,140417;20,213392;22,820289;20,4887;16,969;14,5349;18,6;5,7;2;17,8;26,6;9,24152;1,43878;5,00249;9,86645;37,9317;2,69068;0,37709;25,2527;35,53;27,6352;31,0335;8,88;10,3993;4,17619;7,93098;9,0097;7,4;12,5;;11,7;5,11608;42,2648;21,9347;18,5994;29,4744;47,9365;59,349;24,3297;19,9667;18,6516;42,1771;3,54517;10,6015;20,1292;8,23275;6,80513;19,9947;14,1224;21,3288;15,6503;25,2586;31,7031;16,0232;7,54092;15,3975;12,3441;7,70401;6,08635;24,955;7,49398;8,21774;;7,83283;13,7011;18,6301;26,1801;24,0549;39,5832;5,70573
23.01.2021 06:00;4,58774;4,45762;19,9305;11,5102;25,6635;3,95518;15,9755;14,7723;41,9546;10,5856;17,9192;30,971692;20,864796;15,2;23,6;12,9;10,2;22,3;15,1;27,277306;28,1;12,859102;15,1;2,359102;20,7;4,32338;16,5;8,2;2,009;17,2;;16,8;22,9;25,3;18,6;13,2;23,8;10,9;14,4;21,5695;3,45389;2,91585;16,8368;25,4;6,45955;4,8;31,1221;50,6154;11,7705;25,3308;28,2652;18,9418;6,15946;13,0886;3,1;7,39642;7,47423;8,44736;4,5718;16,4;10,346672;11,993344;21,020048;37,000642;42,133601;20;23,773536;20,106897;24,61379;35,840577;28,080112;19,226784;28,7587;13,6549;15,077;17,6;7,5;1,5;23;30,3;6,33925;1,70327;5,49661;12,2549;36,2215;5,94586;7,82008;35,2885;25,2896;27,0344;33,0891;14,16;26,0508;4,41265;13,0334;20,7428;4,9;13,1;;8;7,64638;37,2808;13,5752;21,2979;26,0639;39,6921;51,7552;31,1773;13,3416;22,1298;44,8948;3,66201;6,6049;24,4474;9,30613;5,49541;31,4046;18,3229;23,5217;17,6249;23,9352;37,2208;14,6004;9,59224;16,1838;10,9943;7,18511;6,10431;16,7834;15,8409;12,745;;7,43078;13,6974;20,7507;23,7274;18,9955;51,2192;12,4429
23.01.2021 07:00;4,00298;5,48638;30,8177;12,4588;24,3727;4,19843;17,1568;18,1167;42,5854;10,5059;18,984;35,383079;28,563673;14,1;25,4;12,2;11;20,8;12,8;20,919326;30,7;18,659102;14,2;2,565918;24,2;4,15121;26,2;7,7;2,212;16,1;;11,7;20,5;27,5;18;11,3;29;8,9;15,1;22,5026;2,87194;5,91148;20,0064;20,9;7,17628;5,3;17,957;62,1804;30,4528;36,959;45,0637;8,82707;17,4716;16,4996;2,9;7,01774;8,44406;7,75531;5,84222;15,4;12,73336;10,086688;24,606736;39,981315;42,086929;19,3;20,960144;18,946913;27,90706;34,480353;37,633681;21,86672;24,9134;14,4282;14,8346;20,1;15,9;1,2;24,7;29,3;11,1177;1,56306;6,43658;22,4787;36,5983;6,83972;8,56948;33,9929;25,2056;36,342;37,5113;19,92;31,1224;6,44947;29,2928;17,1777;4,4;12,9;;6,4;10,9392;44,2293;13,461;15,2755;11,0622;29,2876;35,1606;13,5003;11,9248;18,8736;49,9383;3,696;7,57524;18,1656;6,69944;6,3643;23,4098;19,7596;23,6818;19,88;27,4717;37,2983;13,2687;9,50186;20,2013;9,8549;7,75573;5,89115;17,9282;9,26098;10,8435;;11,1602;19,4063;30,6365;25,1513;20,2706;;9,88079
23.01.2021 08:00;5,8077;8,02084;16,1819;15,151;26,5091;5,90224;16,8029;23,1761;58,6461;10,1665;17,1289;30,844427;24,263673;8,4;26,7;14,1;9,1;24,6;13,8;17,972735;20,6;16,01251;20,5;2,426143;32,3;4,2086;27,3;7,9;7,573;14,1;;9,6;20;24,2;15,3;10;26,4;9,4;12,5;26,3426;3,52194;5,44654;11,4656;19,9;7,9229;11,1;28,2005;71,5067;41,0533;40,2789;54,5223;11,485;14,8516;13,9863;3;5,45308;7,80609;10,657;4,23136;12,8;17,573376;11,486688;29,73344;32,413633;33,23352;18,7;21,086848;21,680273;31,00778;30,900241;31,820209;18,920048;17,3238;7,50885;13,9176;21,6;25,1;1;22,8;;19,5567;1,22527;6,75544;19,5884;20,0718;6,90824;6,11999;27,5876;44,6525;38,8909;34,1027;22,44;47,9233;6,68328;38,4492;21,4331;5;19,3;;8,8;13,4318;48,6084;13,4373;15,7629;10,5504;23,8947;46,8249;9,72358;11,9086;13,137;47,3422;3,62961;12,9341;18,9871;6,33616;6,84602;24,642;22,097;24,1884;21,527;33,75;28,655;12,4354;7,77845;21,5918;10,5018;10,2915;6,67752;24,8389;10,7083;10,5629;;19,145;24,531;34,7826;30,5984;23,2871;51,8858;6,99739
23.01.2021 09:00;10,1145;10,8522;4,78319;18,4205;21,0987;6,62242;15,4723;26,3649;52,3277;11,9155;25,966;36,303528;24,130714;8,3;25,3;12,7;10,4;28,5;10,1;17,705694;19,9;19,564796;18,9;3,079551;24,1;4,13208;25,5;11;4,833;11,6;;11,3;22,6;23,3;14,4;10,8;25,9;10,7;13,5;24,9383;4,93944;5,48324;7,94436;21,6;9,64985;14,8;32,0373;73,1335;39,1732;44,1709;58,9677;11,6085;40,2653;17,1425;2,4;5,36386;8,09951;10,0485;7,45786;11,6;14,773376;10,673376;28,073617;38,600642;31,953569;17,3;18,6668;20,506977;28,70064;28,173617;29,100241;19,40008;16,1458;5,23198;14,5312;20,7;24,2;0,8;11,4;;9,72814;1,42975;7,50893;16,4825;42,9589;9,46129;7,57311;21,3996;40,9552;40,1671;37,5982;25,8;53,5826;7,7349;31,9816;;6,5;22,8;;6,8;12,8373;29,5449;15,7448;18,2325;10,7379;38,2926;53,1839;9,37039;15,4285;14,6332;51,0281;3,86649;13,0627;20,2729;6,43547;9,20309;18,2713;28,6052;23,4756;14,6348;26,5779;26,6713;12,2861;9,05524;23,4559;12,0412;8,87507;7,6745;20,3894;11,1767;12,0598;;29,866;26,059;38,3077;42,0555;20,3107;51,2549;9,26364
23.01.2021 10:00;7,12114;28,8165;4,56649;23,7338;13,5544;7,01226;16,1287;18,4237;44,7132;15,2551;27,9471;24,71259;18,204571;10,6;22,1;14,1;12;16;9;18,02502;20;17,611387;19,1;2,719326;20,8;4,15121;27,1;10,2;3,35;12,6;;14,9;25,3;30,2;13,7;9,9;25,9;13,3;14,3;22,9573;6,37722;4,30057;12,9345;27,2;9,8541;13,9;32,5301;77,7993;62,2287;40,502;61,4851;13,5746;18,8302;7,69819;3;5,87;8,51109;11,1554;9,30507;11,5;14,020048;9,560064;24,486929;25,460225;30,233601;18,7;21,326864;18,006977;28,87386;27,840257;26,973536;19,53344;13,3841;8,40908;16,7182;15;14,9;0,8;6,5;22,1;13,3123;1,48286;8,59841;15,1207;36,206;11,5294;11,8666;25,3;46,6694;44,2454;37,7451;27,18;65,8641;6,88893;27,0482;27,4016;5,4;24,1;;8,1;9,9714;20,4218;14,2938;14,6569;16,9754;21,9864;43,9478;9,39217;10,1097;15,3656;51,8423;4,0067;11,3127;19,1763;6,92303;6,82637;16,363;24,8673;23,7902;13,3394;25,3972;29,5898;11,2024;10,7837;15,8045;12,558;11,1041;8,56013;15,9461;15,2838;17,6221;;22,5685;56,1639;42,1638;41,5536;28,7603;55,0401;8,3581
23.01.2021 11:00;6,51248;24,7742;5,50922;23,3168;11,1417;8,44626;11,0527;4,39441;52,4446;8,8823;26,8758;26,569447;21,776183;11,4;18,4;15,5;10,5;24,1;15,2;15,004571;16,3;11,885245;24,9;3,532959;13,7;4,17034;20,5;11,7;5,297;12,6;;14,4;26,3;35,9;11,8;9,1;24,3;15,8;14,8;21,0054;8,28111;3,38998;17,09;33,1;8,66047;14,3;18,1322;87,414;51,9193;42,7741;75,14;12,4941;37,8031;6,85261;2,8;6,15309;9,48286;11,2876;4,33599;11,4;12,813392;8,160064;17,53344;14,720128;24,400241;20,2;23,340257;18,066961;25,37402;22,340257;22,173536;16,180112;10,0025;6,07326;12,0259;9,2;13,9;1,2;7,4;19,2;9,67145;1,29846;8,43421;11,8098;30,7627;14,4458;9,71243;16,2961;53,9678;42,953;48,4191;23,82;22,6898;6,92187;34,5047;39,7314;6,8;25,5;;10,7;16,8872;19,7334;14,9242;18,0002;8,37359;19,0579;38,3037;9,81387;13,544;15,4304;20,3787;4,19631;9,54672;10,8009;8,01925;6,88426;17,3084;17,6256;16,2707;11,8921;22,1643;24,3026;11,7571;11,7465;14,6359;12,3103;13,5404;11,1015;8,46273;22,919;25,0368;;26,2778;51,5725;48,4964;46,5216;22,0071;43,9866;10,0561
23.01.2021 12:00;6,26924;12,0541;7,85821;25,982;3,80469;7,9109;8,94399;6,64739;43,0343;7,11476;17,8305;32,42518;27,365998;12,3;22,5;16,5;11,4;27;15;14,22502;20,6;10,185245;22,4;4,646592;10,7;3,97904;18,1;11,9;5,956;10,5;;14,3;26,3;33,3;10,8;8,9;19,3;15,1;12,9;17,7264;6,38111;5,95923;15,0716;33,5;8,11973;19,2;36,6154;83,8954;45,9852;49,5882;76,3563;11,4775;28,9972;14,7879;2,8;7,00605;9,16625;13,8116;4,61004;14,1;10,220048;7,613392;15,13344;18,060144;24,100241;18,3;19,013553;17,346913;29,94082;20,700241;17,306816;13,993424;7,85094;4,16232;12,3728;8,3;13,2;0,5;7,3;16,7;13,5067;1,1079;8,6515;6,9464;11,1818;13,7245;10,0056;10,1331;54,8855;46,7871;48,745;17,52;40,1688;6,3857;34,9691;54,4535;5,8;30,5;;11,3;20,9493;19,5544;20,6039;16,8596;3,83639;12,5645;36,1566;12,8024;12,9258;20,0261;19,0042;4,26004;7,66234;10,7529;6,05573;7,89656;15,0315;9,6478;17,8942;11,4879;26,6666;23,2457;10,1882;13,9247;14,2563;10,75;14,7734;11,6582;7,78075;27,5795;32,4029;;17,8039;39,4716;40,2399;49,9;15,6544;29,8532;6,75839
23.01.2021 13:00;5,78911;9,65985;10,0996;19,6416;4,13852;6,67713;7,65926;8,91895;40,7096;8,42555;15,399;43,901443;35,556937;12,3;24,3;15,5;12,2;30,3;14,8;15,584122;22,3;8,118204;16,7;5,832959;12,4;4,3999;20,9;13,9;5,948;9,8;;14;23,5;29,8;9,6;8,3;19;13,9;15,4;22,3417;4,37139;4,73156;12,9145;24,8;9,80553;19,9;10,7592;84,6087;30,2845;41,9413;76,6675;12,4005;33,0825;6,60835;2,2;5,94277;8,67139;14,7088;4,26588;13,6;12,36672;6,280032;17,093424;27,440176;24,920209;19,6;19,440176;19,273536;36,43464;23,786929;19,846832;13,06672;10,4428;3,26262;10,1801;7,8;9,6;0,6;8,5;23,3;18,7589;1,22156;8,22946;12,1858;4,98623;10,6324;7,13973;13,458;42,9345;43,5531;25,7623;13,98;34,6232;5,20389;35,2869;38,5193;5,7;25,6;;8,3;19,88;21,34;14,9189;17,6116;4,32489;7,90612;35,1925;12,4423;9,22782;20,0431;16,6264;4,20162;9,35446;14,5726;6,20816;6,73449;17,3477;10,0944;17,1559;10,5218;28,3858;17,9516;9,69569;16,69;13,3396;9,5977;19,9539;8,50826;8,16416;29,1824;36,7052;;10,8899;23,2154;19,5589;45,7239;14,9891;27,254;4,98395
23.01.2021 14:00;7,16734;8,47175;9,38102;15,8691;9,44807;5,56392;9,7187;9,47768;26,9082;7,31871;15,5414;50,997193;39,827426;12,8;17,8;12,9;11,3;34,7;14;14,523897;18,7;7,931836;17,6;6,979551;15;5,27988;19,4;12,1;2,884;11,4;;15,3;22,9;31,4;9,6;7,7;17;17,7;14,6;17,916;3,61528;3,35243;12,6758;19,3;;20,9;18,076;91,5067;30,8496;55,3954;72,1844;12,833;11,1147;8,32628;2,6;6,46219;8,53201;12,2832;4,98448;11,9;12,720048;6,13336;14,273376;29,946832;24,846832;17,7;20,126864;17,480192;37,42783;24,706897;22,793504;14,913392;10,9664;5,63031;8,99833;7,9;6,2;2,8;9,6;18,4;17,3297;1,2359;7,11818;14,7197;4,3411;7,74261;5,56281;16,0554;25,1716;28,5085;16,6059;7,32;22,4028;11,9786;26,7607;13,3644;4,6;19,2;;12,9;19,5262;24,3234;17,8152;18,133;4,23487;8,45635;31,7535;14,7373;10,0447;16,2823;13,2322;4,06406;10,4884;17,7543;6,37068;7,22895;13,7977;11,0175;19,4148;12,1024;23,4666;15,1393;9,88752;25,363;13,0007;9,0723;27,2875;8,54976;11,4031;39,0707;39,2933;;4,68759;19,1747;15,6797;38,7461;25,2603;26,0149;5,7907
23.01.2021 15:00;6,64048;8,72084;9,11971;14,5445;11,1861;5,30792;13,4327;10,0502;39,743;9,7751;13,3309;49,442582;41,80016;13,3;13;13,4;11,5;36,4;12,2;15,630714;12,3;8,778428;19,4;7,839775;13,1;5,12684;23,4;11;4,138;12,8;;14;23,5;33,2;12,1;7,7;18,2;19,5;15,8;19,7728;4,69639;4,09588;11,0052;13,8;5,96708;10,1;7,33138;86,3534;23,9011;49,2537;42,8585;14,7221;9,4205;20,0511;3,1;6,62418;9,08302;13,8878;4,89366;12,5;11,660064;6,746672;16,66672;23,620128;22,90016;14,7;16,713472;17,240176;41,59463;20,986848;18,73344;13,76672;10,8714;8,69323;10,8905;8,4;4,8;2,1;11,3;26,5;6,70111;1,26086;7,56041;5,82576;4,53532;8,68533;8,1265;17,3121;24,7174;19,9622;25,6449;8,1;21,6275;14,5526;25,3085;22,3497;5,3;18,9;;8,5;15,3547;35,1734;20,1987;14,4313;4,07858;12,7254;43,6563;19,6458;13,35;18,3053;16,0895;4,50701;15,1659;14,4193;5,70732;12,3834;15,3969;13,7092;23,9637;10,2903;20,0032;16,0077;10,3847;16,5856;10,1607;8,9319;35,09;9,0893;17,5847;39,1222;41,5343;;3,86224;16,6195;13,5716;38,0801;21,4599;25,8232;6,68085
23.01.2021 16:00;6,69147;8,84512;12,7907;14,4776;10,0832;5,87409;10,6701;7,58692;34,6662;10,2972;13,7866;37,243384;30,881877;14,7;12,1;12,9;12,2;43;11,9;15,664796;12;10,838653;20,3;8,472735;12,2;4,82076;18,4;12,2;6,442;11,4;15,3;8,5;26,3;38,8;16,4;8,4;22,8;19,5;19,2;24,4439;6,18389;4,81001;11,4157;12,7;10,4928;10,8;6,47279;64,948;25,7435;28,8376;39,3166;13,447;12,476;21,3441;3;7,95355;12,6623;18,3676;4,22658;11,6;11,380032;6,346672;16,526704;26,793424;22,720128;14,2;15,253408;17,360144;41,52815;24,166881;20,946752;13,426704;10,7051;8,59178;15,0711;10,3;5,7;2,1;12,1;;6,84853;1,35593;8,14358;6,02211;9,58958;7,04845;7,94791;20,7757;34,5011;22,1413;21,839;7,74;26,6327;11,6959;24,9604;17,4763;7;20,4;;9,7;24,5102;24,8751;16,1957;17,016;9,79483;13,837;61,3826;20,5885;14,4595;20,6852;13,6272;4,71627;12,9596;16,9019;10,8262;16,5585;15,1144;14,6986;24,1762;9,27108;20,5322;15,2408;10,4141;13,5098;12,6327;9,1716;30,0584;11,4818;12,1539;17,7359;19,3825;;2,64334;16,2727;12,5664;36,1623;14,4432;32,2379;7,00695
23.01.2021 17:00;8,82919;9,24983;14,8398;16,5751;8,5753;9,38102;11,6762;5,12894;30,1283;9,73885;11,898;29,68765;25,023897;17,6;12,2;16;13,4;23,6;9;16,045469;13,1;12,359102;23,3;9,226143;10,7;5,01206;19,7;13,1;7,691;9,9;19,7;7,9;38,3;19,8;19,2;9,6;28,2;26,8;17,6;13,3378;7,64611;3,74523;11,0981;12,1;17,7105;14,4;6,63704;96,5884;29,704;36,8655;63,0604;13,6293;33,1601;22,1539;3,3;8,9313;12,1817;26,9607;4,38273;13,9;11,093344;5,5;17,040016;39,13344;30,020128;14,7;15,513392;21,626864;46,20882;35,580273;20,913392;14,186688;11,104;7,88488;18,3491;14,6;5,1;2,2;10,4;;5,58995;1,11905;7,94041;7,39696;9,29635;8,15316;8,6819;28,5218;32,7209;30,9346;23,117;9,84;21,7673;11,596;14,6084;17,2871;11,2;25,1;;23,5;28,2227;21,1398;14,2777;26,6038;14,5264;17,7141;47,4659;17,9038;12,4017;26,9061;14,0081;5,42689;12,5268;16,7494;10,5287;46,8822;14,0521;17,0307;18,1062;9,62055;17,0975;13,6889;10,2956;6,58525;13,5548;9,1583;15,6906;10,0511;10,6209;11,7083;14,1523;;0,39196;11,719;13,5555;38,9974;15,5963;35,5813;8,94763
23.01.2021 18:00;8,81379;11,2436;15,0235;18,3659;8,38523;9,13777;11,0467;4,85807;43,1007;9,9424;10,1926;17,6251;17,53753;11,5;12,6;10,6;9,8;17,7;9,3;12,385245;9,3;10,672735;26,3;9,672735;12,1;5,68161;13,4;10,2;11,2;6,7;12,1;9,7;24,1;11,1;10,6;11,4;29,8;17,8;15,4;9,92487;7,25028;3,04534;10,4066;11,8;16,2757;14,7;10,5008;103,567;55,1357;46,452;84,5672;21,2492;34,3057;17,2209;7,7;12,0606;13,4454;19,8245;4,73167;11,2;11,693344;5,446672;19,140016;34,986768;31,613472;14,2;13,820048;21,560225;48,50834;31,793585;20,36672;18,326704;10,0296;7,61242;15,5624;11,2;4,6;2,7;10,1;;13,7196;1,40691;8,54983;12,1067;10,1867;10,7726;12,157;19,537;32,6821;30,3935;24,454;15,6;27,9356;12,3723;13,9846;32,0008;7,6;43,2;;36,3;42,3492;28,255;15,6072;24,3648;14,6429;17,123;45,7648;20,1185;12,2248;24,0721;14,8209;16,4873;10,9223;13,295;10,8703;16,3837;14,1472;16,7726;14,8944;8,59869;16,3094;14,6241;10,1266;7,21212;10,7712;8,4516;18,7255;6,17581;7,62268;12,0918;13,6263;;0,65114;13,7308;13,9504;46,0064;13,2434;38,9841;7,81583
23.01.2021 19:00;6,91932;14,8541;15,7683;21,8117;7,23451;6,88798;10,7405;8,73253;38,6436;13,1307;12,2729;12,659182;14,697755;11;12;8,2;8,5;11,2;7;9,765918;8,7;7,979551;17,1;11,739775;9;5,31814;17,1;11,1;10,89;9,5;12,6;11,9;21,6;11,4;12,8;11,1;25;20,9;15,9;11,8661;6,60806;3,3008;10,2712;12,2;11,6804;12;12,8232;80,1415;64,8216;52,8195;77,957;15,032;24,9146;14,3682;8,2;12,6432;17,5123;18,7622;4,22499;16,4;9,1;5,893344;15,326704;26,560064;26,880112;15;18,886768;27,206977;42,77458;30,526864;19,220048;16,93336;9,50376;12,1996;10,95;12,7;4,2;2,1;7,7;;13,6909;1,40691;8,3239;15,245;21,8987;13,2566;12,3604;20,8852;30,3389;27,8228;27,3255;21,66;21,2768;12,3155;12,0285;36,161;9,1;54,3;;27,1;26,6692;22,4309;14,8902;19,8914;16,3409;16,1006;53,6263;21,2694;12,5698;24,1284;16,8097;24,0269;11,7365;15,1741;12,5172;20,7696;13,6756;13,553;15,7312;8,01712;16,4437;13,8206;9,50787;7,65087;8,66899;7,0799;18,8114;5,89265;6,93731;12,1375;13,9468;;1,36283;16,8405;14,3715;25,9161;10,0582;41,1043;11,6027
23.01.2021 20:00;9,65985;12,0111;15,4845;21,1372;6,37445;5,27287;11,3545;21,2136;40,7362;15,0453;9,81812;13,030794;12,471612;6,7;8,9;5,2;6;10,2;6,1;6,372735;6,1;5,079551;12,3;8,232959;12,9;8,55111;24,5;13,3;7,421;7,8;14,1;11,4;18,9;12,5;12,1;9,6;18,4;19,2;16,8;12,6128;5,75194;4,06031;13,5046;13,1;10,2289;20,4;11,086;36,2648;25,7865;38,4354;29,6493;16,1679;17,1099;21,1582;7,4;16,2552;32,6419;15,8548;4,14479;14,7;8,680032;5,646672;22,153488;34,840096;28,4668;;15,213392;24,560305;40,16824;32,320209;16,86672;14,680032;9,63176;15,3151;12,01;21,4;4,4;2,3;8,6;;15,6151;1,2991;10,2909;6,28782;56,7852;32,3761;17,0605;15,9358;25,1055;23,0405;21,9117;10,08;17,7383;12,2602;9,65746;30,6356;9,9;46,6;;45,5;23,7706;24,2633;12,4594;27,0397;15,149;15,6842;49,806;20,2725;12,1753;21,8191;22,3869;11,5623;16,4528;15,9605;10,8379;17,8597;12,0169;12,938;10,7236;7,13548;14,7564;12,5995;8,11471;8,73449;8,22526;5,9262;23,6914;7,70689;5,26164;12,214;14,3791;;2,10692;11,7641;12,4143;17,6616;7,81014;43,9117;12,8396
23.01.2021 21:00;11,3976;10,5893;16,9171;19,3245;9,391;5,92826;10,6368;18,2532;37,2983;16,6137;9,98276;15,429671;11,645469;6,4;8;4,7;5,9;8;6,4;6,326143;6,1;4,186367;14,3;6,179551;16,1;6,19812;25,8;12,1;8,536;5,3;7,5;10,9;16,2;11;11,8;9,2;17,1;19,3;12,8;17,2043;6,105;5,40352;10,0582;13,3;23,8263;23,1;11,7409;35,3571;25,8242;27,0219;25,0403;27,8262;18,1381;17,7759;7,6;20,3025;60,4114;14,031;3,86702;14;9,226704;6,046672;36,227105;38,846752;25,73344;8,8;10,93336;24,500321;48,71524;28,53352;17,26672;11,493344;8,13456;11,3498;13,0245;19,2;3,8;2,1;11,9;;14,29;1,4186;8,56057;5,0976;53,1174;69,3887;24,5737;7,75296;20,5618;16,5125;21,002;8,22;15,4825;9,2908;8,82903;25,2952;8,5;44,8;;48,7;19,4188;24,7392;14,9808;25,0568;14,4861;19,9694;52,9541;18,7167;14,1858;22,8022;16,3813;10,3143;22,0897;28,5543;9,30066;27,1455;10,9802;7,85048;9,7743;6,83593;13,8939;11,4401;7,2171;6,33333;7,71617;5,0728;13,1898;6,39092;3,80011;10,7529;11,3829;;1,62573;9,2724;9,25946;17,293;5,15751;41,1149;9,75279
23.01.2021 22:00;12,1948;9,94984;12,7555;19,2029;12,8688;8,20567;10,2147;22,3476;43,4677;8,96569;11,4853;18,23761;10,505694;6,6;6,3;5,6;5,3;9,7;5,9;6,879551;5,2;4,239775;12,4;3,932959;17,8;5,47118;30,6;13;6,569;4,1;6,7;10;10,5;8,8;9;6,9;12,1;21,2;11,2;20,5078;4,81472;6,30052;6,06051;13,6;20,1771;22,4;10,8231;43,6398;49,2956;39,5348;35,953;47,2504;16,3138;19,4039;8,6;14,4104;29,0522;22,0435;6,64261;11,6;10,173376;6,346672;30,766961;29,953408;25,640096;6;7,93336;18,500241;44,87514;26,1668;19,820048;10,993344;9,10808;9,14308;9,79133;17,4;4,9;2,1;12,4;;8,25311;1,27732;7,93409;3,54198;42,1974;28,6057;12,3009;7,51915;10,8308;10,7309;17,966;6,66;11,2803;4,89569;7,86987;12,02;9,8;48,4;;44,1;23,3768;23,3908;9,487;25,6891;9,6889;20,3503;34,0203;15,6703;11,1287;27,0044;18,4595;7,85926;11,0796;8,2046;9,06218;24,4336;10,7279;5,54599;10,5862;6,40679;12,4322;9,39004;6,92623;5,99611;7,16474;4,8996;10,6785;5,46062;4,97865;12,0833;12,4486;;5,06786;6,56028;7,85767;16,2265;4,79822;37,0785;6,31597
23.01.2021 23:00;9,7597;14,1743;12,2033;16,3386;11,9241;10,3662;10,7824;23,8634;31,9623;12,7249;12,3133;13,186447;11,859102;6,3;9,3;13,1;4,3;6;6,3;6,432959;6,4;3,986367;9;2,872735;14,5;5,12684;33;13,2;6,292;4,2;7,9;10,4;9,3;6,9;6,6;5,9;11,6;17;9,1;21,5387;4,03028;9,87463;8,65392;14,4;17,2359;19,9;13,6807;43,5044;41,979;43,6637;35,9174;20,3279;16,411;17,9919;6,3;22,3578;26,6122;29,324;3,58234;11,7;6,026704;8,17;26,760385;34,60008;27,080112;5,7;7,193344;23,333601;45,94852;26,373456;23,83344;11,340016;10,8236;16,1612;11,6513;14,6;3,2;1,8;16;;6,77708;1,40213;8,88113;3,75761;47,8203;16,071;7,92348;8,57662;5,74388;6,6298;4,31872;5,34;2,86312;4,046;7,34007;5,39944;9;46;;41,5;14,5393;26,2125;8,49087;23,3709;10,8435;15,902;26,1688;12,2458;16,0645;22,7565;14,0266;9,6471;21,467;7,5917;10,183;25,0732;10,3121;8,07674;9,77652;6,73024;10,3301;7,72448;6,78918;6,08427;7,17294;4,6553;9,25136;4,51819;7,90724;10,5187;12,3948;;7,99853;17,3286;12,073;34,5791;5,00323;33,1249;8,16743
